Value-Based Management;Aandeelhouderswaarde
Aggregate Demand and Aggregate Supply;Aansporen van de vraag, aansporen van het aanbod
Contestability;Aanvechtbaarheid
Allocative Efficiency;Allocatieve efficiëntie
Employment Law and Legislation;Arbeidsrecht en Wetgeving
B2B (Business to Business) Marketing;B2B ( Business to Business ) Marketing
B2C (Business to Consumer) Marketing;B2C ( Business to Consumer ) Marketing
Balance Sheets;Balansen
Banking;Bankieren
Business Economics;Bedrijfseconomie
Business Ethics;Bedrijfsethiek
Business Finance;Bedrijfsfinanciën
Business Size;Bedrijfsgroote
Corporates Restructuring;Bedrijfsherstructurering
Corporate Structures;Bedrijfsstructuren
Budgets;Begrotingen
Taxation;Belasting
Decision Science;Beslissingswetenschap
Decision Making Under Uncertainty;Besluitvorming onder onzekerheid
Balance of Payments;Betalingsbalans
Bookkeeping;Boekhouden
Accounting;Boekhouding
Accounting and Financial Ratios;Boekhouding en Financiële ratio's
Break-Even Analysis;Break - even analyse
Sources of Funds;Bronnen van fondsen
Coaching;Coaching
Commercial and Investment Banking;Commercieel en investeringsbankieren
Communications and Interpersonal Skills;Communicatie en interpersoonlijke vaardigheden
Communication Strategies;Communicatie strategieën
Competition;Concurrentie
Conflict Resolution;Conflictoplossingen
Consumer Behaviour;Consumentengedrag
Contracts;Contracten
Creative Thinking;Creatief denken
Data and Information Management;Data-en Informatiemanagement
Delegation;Delegatie
Retailing Strategies;Detailhandel strategieën
Services Marketing;Dienstenmarketing
Distribution Channels;Distributiekanalen
E-Business;E-Business
E-Commerce;E-Commerce
Economics of Work and Leisure;Economie van werk en vrije tijd
Economic Management;Economisch management
Economic Efficiency;Economische efficiëntie
Circular Flow of Income and Multiplier Effect;Economische kringloop en multipliereffect
e-Government;E-Government
Electronic Communication;Electronische Communicatie
European Union;Europese Unie
Financial Statement Analysis;Financiële analyse
Financial Accounting;Financiële boekhouding
Financial Markets and Institutions;Financiële markten en intsellingen
Fiscal Policy;Fiscaal beleid
Mergers and acquisitions;Fusise en overnames
Mergers and Takeovers;Fusise en overnames
Behavioural Decision Theory;Gedragsbeslissings theorie
Sense of Initiative and Entrepreneurship;Gevoel voor initiatief en ondernemerschap
Globalisation;Globalisering
Trading regulations;Handelsregelgeving
Protecting Ideas;Ideeën beschermen
Inflation;Inflatie
Innovation;Innovatie
Inspiring Followership;Inspirerende volgerschap
Intellectual Property;Intellectuele Eigendom
International Trade;Internationaal handelen
International Accounting Standards;Internationale boekhoudingsnormen
International Finance;Internationale financiën
International Marketing;Internationale marketing
Data Interpretation;interpretatie van gegevens
Investment Decisions;Investeringsbeslissingen
ICT in business;IT in ondernemingen
IT Infrastructures;IT infrastructuren
IT Strategy;IT -strategie
Capital Markets;Kapitaalmarkten
Cash Flow;Kasstroom
Knowledge Management;Kennismanagement
Customer Relationship Management;Klanten relatiebeheer (Customer Relationship Management)
Cost Management;Kostenmanagement
Leadership Styles;Leiderschapstijlen
Power and Politics;Macht en Politiek
Macroeconomic Policy;Macro-economisch beleid
Marketing;Marketing
Marketing Management;Marketingmanagement
Market Analysis;Marktanalyse
Market Failure;Marktfalen
Market Structure;Marktvorm
Competition Law;Mededingingsrecht
Branding strategies;Merkstrategieën
Resource Management;Middelenbeheer (resourcemanagement)
Monetary Policy;Monetair beleid
National Economy;Nationale economie
Negotiation;Onderhandeling
Negotiation and Auction Analysis;Onderhandeling en veilinganalyse
Negotiation Skills;Onderhandelingsvaardigheden
Entrepreneurship Education;Ondernemerschapsleer
Enterprise;Onderneming
Growing a business;Onderneming laten groeien
Corporate Finance;Ondernemingsfinanciën
Business Management;Ondernemingsmanagement
Entrepreneurial Process;Ondernemingsproces
Business Law;Ondernemingsrecht
Business Software;Ondernemingssoftware
Development Economics;Ontwikkelingseconomie
Measures of Development;Ontwikkelingsmaatregelen
Operations Management;Operations management
Organizational Culture;Organisatiecultuur
Organizational Behaviour and Leadership;Organisatiegedrag en leiderschap
Business Studies;Organisatiekunde
Organizational Behaviour and Leadership;Organisatorisch gedrag en leiderschap
Organizational Learning;Organisatorisch Leren
Organizational Evolution and Growth;Organisatorische evolutie en groei
Organizational Innovation;Organisatorische innovatie
Human Resource Management;Personeelsmanagement
Performance Measurement;Prestatiemeting
Price Strategies;Prijsstrategieën
Data privacy;Privacybescherming
Private Equity and Venture Capital;Private equity en durfkapitaal
Production;Productie
Productive Efficiency;Productieve efficiëntie
Product Strategies/Brands;Productstrategieën en merken
Professional Development;Professionele ontwikkeling
Project Management;Projectmanagement
Protectionism;Protectionisme
Public Relations;Public relations
Regulations;Reglement
Risk Management;Risicomanagement
Collaboration;Samenwerking
Economies of Scale;Schaalvoordelen
Segmentation and Positioning;Segmentatie en positionering
Social Entrepreneurship;Sociaal ondernemerschap
Social Networks;Sociale Netwerken
Stability and Policy Effectiveness;Stabiliteits- en beleidseffectifiteit
Statistical Methods;Statistische methoden
Strategy and Corporate Social Responsibility;Strategie en maatschappelijk verantwoord ondernemen
Strategic Marketing;Strategische marketing
Systems Analysis;Systeemanalyse
Teams and Groups;Teams en groepen
Supply Side Policy;Toeleveringsbeleid
Transport Economics;Transport economie
Change Management;Veranderingsmanagement
Sales;Verkoop
Vision and Mission;Visie en Missie
Benefits and Implications of International trade;Voordelen en implicaties van internationale handel
Forecasting;Voorspelling
Free Trade;Vrijhandel
What Efficiency is;Wat efficiëntie is
Global Economics;Wereldwijde economie
Working Capital;Werkkapitaal
Profit and Loss Accounts;Winst-en verliesrekeningen
Exchange Rates;Wisselkoersen
Self-motivation Skills;Zelfmotivatievaardigheden

