ICT;IT
Connecting computer parts;Aansluiten computer onderdelen
Number bases;Aantal bases
Advertising;Advertenteren
Advertising;Adverteren
Images;Afbeeldingen
Reliance on ICT & risk assessment;Afhankelijkheid van IT & risicobeoordeling
AJAX;AJAX
Algorithm;Algoritme
Animation;Animatie
Anti-Virus Program;Anti - virus programma
Archive;Archief
Assembler;Assembler
Audio;Audio
Augmented Reality;Augmented Reality
Copyright;Auteursrecht
Automation;Automatisering
Automating events;Automatiseringsgebeurtenissen
Tape-recorders;Bandrecorders
Basic computer concepts;Basis computer concepten
Basic computer usage and possibilities;Basis computergebruik en mogelijkheden
Graphics;Beelden
Graphics and sounds;Beelden en geluiden
Understanding of hardware and software;Begrip van de hardware en software
Understanding of terminology;Begrip van de terminologie
Understanding of audience;Begrip van het publiek
Databases management;Beheer van databanken
Control concepts;Beheerconcepten
Reviewing and reflecting critically on what people produce using ICT;Beoordelen en kritisch na te denken over wat mensen produceren met behulp van ICT
Limitations/advantages;Beperkingen / voordelen
Combating ICT & IT crime;Bestrijding vanIT criminaliteit
Operating system;Besturingssysteem
Control technology;Besturingstechniek
Security;Beveiliging
Security for Electronic Transaction - SET;Beveiliging voor Electronic Transaction - SET
Security technology;Beveiligingstechnologie
Awareness-raising activities;Bewustmaking activiteiten
Bibliography;Bibliografie
Library;Bibliotheek
Biotechnology;Biotechnologie
Blu-Ray;Blu- Ray
Bool algebra and logical sets;Bool algebra en logische sets
Engineering;Bouwkunde
Cataloguing;Cataloguing
CD-ROM;CD - ROM
Chat;Chatten
Classification;Classificatie
Coding;Coderen
Combining software tools to produce a system;Combineren van software tools om een ​​systeem te produceren
Communication;Communicatie
Communications & entertainment;Communicatie & entertainment
Communication Environments;Communicatie omgevingen
Communications issues;Communicatie vraagstukken
Communicative competence;Communicatieve competentie
Communicating;Communiceren
Computer-assisted-instruction (CAI software);Computer - assisted - instructie ( CAI -software )
Computer addition;Computer aanvulling
Computer functional scheme;Computer functionele regeling
Computer application;Computerapplicatie
Computer architecture;Computerarchitectuur
Computer game;Computerspel
Computer literacy;Computervaardigheden
Computer science;Computerweternschappen
Concept keyboard;Concept toetsenbord
Controlling;Controlling
Correction;Correctie
Creating & editing images;Creëren en bewerken van afbeeldingen
Cryptography;Cryptografie
CSS;CSS
Cyberbullying;Cyberpesten
Everyday use;Dagelijks gebruik
Data capture;Data capture
Data Encryption;Data encryptie
Data logging;Data loggen
Data representation;Data representatie
Creating database;Database creëren
Database stucture;Database stucture
Databases;Databases
Database terminology & definitions;Databaseterminologie & definities
Data concepts;Dataconcepten
Datalogging;Dataloggen
Share ideas;Deel ideeën
Desktop publishing software;Desktop publishing software
Diagrams;Diagrammen
Digital citizens;Digitale burgers
Digital cameras;Digitale camera's
Digital literacy;Digitale geletterdheid
Digital presentations;Digitale presentaties
Digital Products;Digitale producten
Digital scanners;Digitale scanners
Finding things out;Dingen uitzoeken
Documentiation;Documentiation
DVD-ROM;DVD-ROM
E-book readers & other gadgets;E - book readers en andere gadgets
E-mail;E - mail
Simple networking;Eenvoudige netwerken
Electronic day books;Electronic dagboeken
Electronic journal;Elektronisch journaal
Recognising that information must be analysed and evaluated for its purpose, author, currency and context;Erkennend dat informatie moet worden geanalyseerd en geëvalueerd voor zijn doel , auteur , valuta en context
Recognising issues of risk, safety and responsibility surrounding the use of ICT;Erkenning van kwesties van risico's, veiligheid en verantwoordelijkheid rond het gebruik van IT
Labelling;Etikettering
Fantasy;Fantasie
Faxes;Faxen
Feedback/responding to data;Feedback / reactie op data
File transfer protocol (FTP);File Transfer Protocol ( FTP )
Floppy Drive;Floppy Drive
Functional skills;Functionele vaardigheden
Gadgets;Gadgets
Games & gaming machines;Games & speelautomaten
Building computers & networks;Gebouw computers & netwerken
Use & misuse of data;Gebruik en misbruik van data
Use text, tables, images and sound to develop ideas;Gebruik tekst, tabellen , afbeeldingen en geluid om ideeën te ontwikkelen
Contextualised use of text/image processing;Gecontextualiseerde gebruik van tekst / beeldverwerking
Data presentation;Gegevenspresentatie
Data Security;Gegevensveiligheid
Data processing;Gegevensverwerking
Confidentiality issues;Geheimhoudingskwesties
Memory;Geheugen
Linked databases & database structures;Gekoppelde databases en database- structuren
Sound;Geluid
Sounds;Geluiden
History & development of ICT;Geschiedenis en ontwikkeling van IT
History of technology;Geschiedenis van de technologie
Appropriate/not appropriate;Geschikt / niet geschikt
Health & safety legislation;Gezondheid & veiligheidswetgeving
Hacking;Hacking
Hardware;Hardware
Using ICT;Het gebruik van IT
Use of queries, forms, reports, macros;Het gebruik van query's , formulieren , rapporten , macro's
The Internet: searching and interpreting;Het Internet: Zoeken en interpreteren
Entering data;Het invoeren van data
Creating websites;Het maken van websites
Storing & retrieving data;Het opslaan en ophalen van gegevens
Asking questions & querying data;Het stellen van vragen en het bevragen van gegevens
Applying ICT in other contexts;Het toepassen van IT in andere contexten
Uploading websites;Het uploaden van websites
Data collection;Het verzamelen van gegevens
Collecting information;Het verzamelen van informatie
High level programming languages;Hogere programmeertalen
HTML;HTML
Hypermedia;Hypermedia
Identification theft;Identificatie diefstal
Identity Hacking;Identiteit Hacking
Impact of IT on communications;Impact van IT op de communicatie
Security Breach/Incident;Inbreuk op de beveiliging / Incident
Information;Informatie
Information ;Informatie
Information Owner;Informatie Owner
Information source;Informatiebron
Information network;Informatienetwerk
Information system;Informatiesysteem
Information literacy;Informatievaardigheden
Information skills;Informatievaardigheden
Informational website design;Informatieve website ontwerp
Information processing;Informatieverwerking
Information Security Guidelines/Policy/Plan/Risk Assessment;Information veiligheidsregels / beleid / plan / Risico inschatting
Infrared communications;Infrarood communicatie
Input & output devices;Input & output apparaten
Instructions;Instructies
Integration of digital products;Integratie van digitale producten
Interactive material;Interactief materiaal
Interactive digital display design;Interactieve digitale display ontwerp
Internet;Internet
Internet based entertainment;Internet based entertainment
Internet service providers;Internet service providers
Interoperabiloty;Interoperabiliteit
Interpretation of data;Interpretatie van de gegevens
Interpret information;Interpreteren informatie
Interpreting information;Interpreteren van informatie
Impact of ICT;Invloed van IT
Input;Invoer
ICT & me;IT & me
ICT in society;IT in de samenleving
