Foreign Language Learning;Het leren van een andere taal
Listening Actively;Actief luisteren
Activating / Generating Knowledge;Activeren / kennisgeneratie
Post-Reading Activities;Activiteiten na het lezen
Post-Writing Activities;Activiteiten na het schrijven
Post-Speaking activities;Activiteiten na het spreken
During Reading Activities;Activiteiten tijdens het lezen
During Writing Activities;Activiteiten tijdens het schrijven
Pre-Reading Activities;Activiteiten voorafgaand aan het lezen
Pre-Writing Activities;Activiteiten voorafgaand aan het schrijven
Reading Other Forms of Text;Andere vormen van tekst lezen
Descriptive Analysis;Beschrijvende analyse
Editing;Bewerken
Brainstorming/Listing;Brainstormen / adverteren
Consulting Resources;Bronnen navragen
Higher-order Webbing / Clustering;Clusteren
Code Switching;Codewisseling
Sharing;Delen
Sharing / Collaborating;Delen / samenwerken
Discussion;Discussie
Doodling;Doedelen
Identifying Purpose / Audience;Doel en doelgroep identificeren
Dramatic Reading / Reader’s Theater;Dramatisch lezen / lezerstheater
Evaluating / Criticizing Speech / Production;Evalueren / kritieke spraak / productie
Writing Fiction;Fictie schrijven
Usage;Gebruik
Directed / Guided Reading;Geregiseerd / Begeleidend lezen
Grammar ;Grammatica
Rereading;Herlezen
Revising;Herzien
Creating Text-Related Artifacts;Het creëren van een tekstgerelateerde artefact
Organizing Ideas for Writing Activities;Het ordenen van ideeën voor schrijfactiviteiten
Writing Other Forms of Text;Het schrijven van andere vormen van tekst
Choosing Form / Genre;Keuzeformulier / genre
Whole Class Literature Study;Klasikale literatuurstudie
Critical Analysis / Reflection;Kritische analyse / reflectie
Reading Discussion;Leesdiscussie
Reading;Lezen
Webbing / Clustering / Semantic Mapping;Linken / clusteren / semantisch ordenen
Literature Reading;Literatuur lezen
Literature Circles / Book Clubs;Literatuurgroepen / boekenclubs
Listening;Luisteren
Mechanics;Mechanica
Multimodal / Multimedia Interaction;Multimodale / multimediale interactie
Nonfiction Reading;Non-fictie lezen
Writing Nonfiction;Non-fictie schrijven
Note Taking;Noteren
Independent Reading;Onafhankelijk lezen
Researching;Onderzoeken
Drafting;Opstellen
Listening Passively;Passief luisteren
Performance / Production;Prestaties / productie
Reconstituting / Reconsidering Text;Reconstitueren / Heroverwegende tekst
Summarizing;Samenvattend
Writing;Schrijven
Semantic Analysis;Semantische analyse
Sequencing / Outlining / Storyboarding;Sequencing / Onderstrepen / Storyboarden
Spelling;Spelling
Speaking;Spreken
Speaking / Speech;Spreken / spraak
Style / Error Analysis;Stijl / fout analyse
Sustained Silent Reading;Stillezen
Language Errors;Taalfouten
Quizzing / Testing;testen / testen
During Reading activities;Tijdens leesactiviteiten
During Listening activities;Tijdens luisteractiviteiten
Publishing;Uitgeven
Performing;Uitvoeren
Conferencing;Vergaderen
Translation;Vertaling
Completing Scales;Voltooiingsschalen
Making Predictions;Voorspellingen doen
Freewriting / Guided Freewriting;Vrijschrijven / begeleid vrijschrijven
Word Analysis;Woordanalyse
Vocabulary;Woordenschat
Vocabulary Analysis;Woordenschat analyse
Vocabulary Awareness;Woordenschat bewustzijn
Vocabulary Use;Woordenschat gebuik
Sentence Composing;Zin construeren
Sentence Analysis;Zinanalyse

