Special Educational Needs;Speciale onderwijsbehoeften
Attention ;Aandacht
Attention deficit / and hyperactivity disorder (ADD / ADHD) ;Aandachtstekort / hyperactiviteitsstoornis ADHA
Anxiety ;Angst
Articulation ;Articulatie
Auditory processing disorder ;Auditieve verwerking stoornis
Autism spectrum disorders (ASD) and Asperger Syndrome;Autisme spectrum stoornissen (ASS) en het syndromm van Asperger
Awareness & management of others ;Awareness & beheersing van anderen
Awareness & management of self ;Awareness & zelfbeheersing
Gifted and talented ;Begaafde en getalenteerde
Rewards & sanctions ;Beloningen en sancties
Cognitive impairment: Severe learning difficulties (SLD) ;Cognitieve stoornissen: Ernstige leerproblemen (SLD)
Cognitive impairment: Moderate learning difficulties (MLD) ;Cognitieve stoornissen: Matige leerproblemen (MLD)
Communication ;Communicatie
Communication modes ;Communicatiemodus
Curriculum extension ;Curriculum extensie
Curriculum P1 - P3 ;Curriculum P1 - P3
Curriculum P4 - P7 ;Curriculum P4 - P7
Curriculum P8 - L2 ;Curriculum P8 - L2
Depression ;Depressie
Profound and multiple learning difficulties (PMLD) ;Diepgaande en meervoudige leerproblemen (PMLD)
Down's Syndrome ;Downsyndroom
Dyscalculia ;Dyscalculie
Dysgraphia ;Dysgrafie
Dyslexia ;Dyslexie
Dyspraxia ;Dyspraxie
Eating disorders ;Eetstoornissen
Expressive language ;Expressieve taal
Physical ;Fysiek
Behavior ;Gedrag
Behavioral, emotional and social difficulties (BESD) ;Gedrags-, emotionele en sociale problemen (BESD)
Behavior management ;Gedragsbeheersing
Tourette's Syndrome ;Gilles de la Tourette syndroom
Hyperactivity ;Hyperactiviteit
Impulsivity ;Impulsiviteit
Information ;Informatie
Classroom organization ;Klaslokaal indeling
Curriculum ;Leerplan
Physical impairments ;Lichamelijke beperkingen
Communication ;Mededeling
Environment ;Milieu
Motivation ;Motivatie
Obsessive compulsive disorder [OCD] ;Obsessief-compulsieve stoornis [ OCS ]
Organisation ;Organisatie
Bullying ;Pesten
Projects ;Projecten
Mental health issues ;Psychische problemen
Receptive language ;Receptieve taal
Selective mutism ;Selectief mutisme
Sensory integration disorder ;Sensorische integratie stoornis
Hearing impairment ;Slechthorendheid
Social skills ;Sociale vaardigheden
Specific learning difficulties;Specifieke leerproblemen
Speech and language communication difficulties ;Spraak, taal, communicatieproblemen
Therapy ;Therapie
Tics ;Tikken
Access ;Toegang
Visual impairment ;Visuele handicap
Visual processing disorder ;Visuele verwerking stoornis
Well Being / Emotional Literacy;Welzijn / Emotionele geletterdheid
Anger management ;Woedebeheersing
Self-esteem ;Zelfrespect
Self-harming ;Zelfverminking
Sensory ;Zintuiglijk

