Science;Ciências
Astronomy;Astronomia
Asteroid belt;Cintura de Asteroides
Asteroids;Asteroides
Astrobiology;Astrobiologia
Astrometry;Astrometria
Astronauts;Astronautas
Atmospheres;Atmosferas
Aurora;Aurora
Big Bang;Big Bang
Binary stars;Estrelas binárias
Black holes;Buracos negros
Brown dwarfs;Anãs castanhas
Comets and meteors;Cometas e meteoros
Constellations;Constelações
Coordinates;Coordenadas
Cosmic background radiation;Radiação cósmica de fundo
Cosmic rays;Raios cósmicos
Cosmology;Cosmologia
Crater;Cratera
Dark energy;Energia escura
Dark matter;Matéria escura
Density waves;Ondas de densidade
Dust;Poeira
Earth;Terra
Eclipses;Eclipses
Einstein ring;Anel de Einstein
Elliptical galaxy;Galáxia elíptica
Escape velocity;Velocidade de escape
Extrasolar planets;Planetas extrassolares
Extraterrestrial life;Vida extraterrestre
Formation;Formação
Galactic wind;Vento galáctico
Galaxies and Dwarf galaxies;Galáxias e galáxias anãs
Galaxy clusters;Enxames de Galáxias
Gamma ray bursts;Fulgurações de raios gama
Gas;Gás
Giants;Gigantes
Globular clusters;Enxames globulares
Gravitational lenses;Lentes gravitacionais 
Halos;Halos
Hertzsprung-Russell diagram;Diagrama de Hertzsprung-Russell
HII region;Região HII
Hubble expansion;Expansão de Hubble
Inflation;Inflação
Intergalactic medium;Meio intergaláctico
Interstellar medium;Meio interestelar
Irregular galaxy;Galáxia irregular
Jets;Jatos
Kuiper belt objects;Objetos da cintura de Kuiper
Light curve;Curva de luz
Lunar eclipse;Eclipse da Lua
Main sequence;Sequência principal
Mass loss;Perda de massa
Meteor;Meteoro
Meteorite;Meteorito
Microlensing effect;Efeito de microlente gravitacional
Milky Way;Via Láctea
Moon;Lua
Near-earth objects;Objetos próximos à Terra (NEOs)
Nebula;Nebulosa
Neutron stars;Estrela de neutrões 
Nucleosynthesis;Nucleossíntese
Open clusters;Enxames abertos
Orbit; Órbita
Origin and evolution of the universe;Origem e evolução do Universo
Phases;Fases
Phases of the Moon;Fases da Lua
Planetary nebula;Nebulosa planetária
Planets;Planetas
Pulsars;Pulsares
Quasars;Quasares
Redshift;Desvio para o vermelho
Rockets;Foguetões
Rotation curve;Curva de rotação
Satellites: natural satellites;Satélites: satélites naturais
Satellites: artificial satellites;Satélites: satélites artificiais
Seasons;Estações do ano
Solar activity;Atividade solar
Solar eclipse;Eclipse do Sol
Solar system;Sistema solar
Solar-terrestrial relations;Relações Sol-Terra
Space flight;Voo espacial
Space ships;Naves espaciais
Space stations;Estações espaciais
Spiral galaxy;Galáxia espiral
Star chart;Mapa do céu
Stars;Estrelas
Sun;Sol 
Sunspots;Manchas solares 
Supernova;Supernova
Supernova remnants;Remanescentes de supernova
Theory of relativity;Teoria da Relatividade
Tides;Marés
Universe – generally;Universo - generalidades
Variable stars;Estrelas variáveis
Zodiac;Zodíaco
Zodiacal light;Luz zodiacal
Biology;Biologia
Ecology;Ecologia
Biomass;Biomassa
Biosphere;Biosfera
