Music;Música
Music as a performance art;Música como arte de performance
Appraising, responding & reviewing;Apreciar, responder & analisar
Internalising sounds;Interiorizar sons
Recalling music: aural memory;Recordar música: memória auditiva
Analysing music;Analisar música
Context;Contexto
Live performance;Desempenho ao vivo
Recorded performance;Atuação gravada
Concert Hall;Sala de concertos
Arena;Anfiteatro
Music Stage;Palco 
Ceremony;Cerimónia
Church;Igreja
School;Escola
Music School;Escola de Música
Conservatory of Music;Conservatório de Música
Chamber Music Hall;Auditório de Música de Câmara
Street music;Música de Rua
Theatre;Teatro
Auditorium;Auditório de Música de Câmara
Music genres;Γêneros musicais
Traditional Music;Música Tradicional
Ballet Music;Música de Bailado
Classical Music;Música Clássica
Jazz Music;Música de Jazz
Pop – Rock Music;Música Pop-Rock
Chamber Music;Música de Câmara
Electronic Music;Música Eletrónica
Vocal Music;Música Vocal
Symphonic Music;Música Simfónica
16th c. Music;Música do sec XVI
17th c. Music;Música do sec XVII
18th c. Music;Música do sec XVIII
19th c. Music;Música do sec XIX
20th c. Music (contemporary);Música do sec XX (contemporânea)
General styles & traditions;Estilos gerais & tradições 
Music from Europe;Música da Europa
Music from Africa;Música de África
Music from the Americas;Música das Américas
Music from Asia;Música da Ásia
Music from Australasia;Música da Austrália
Music from other places/cultures;Música de outros locais/culturas
Music from other traditions;Música de outras tradições
Music of the past;Música do passado 
Music of the present;Música do presente
Musical stimuli;Estímulo musical
Non-musical stimuli;Estímulo não-musical
Range of activities;Leque de atividades
Performing/controlling sounds;Executar/controlar sons
Controlling sounds;Controlar sons
Using the voice;Usar a voz
Singing, including diction, sounds & techniques;Canto, incluindo dicção, sons & técnicas
Playing instruments: sounds & techniques;Tocar instrumentos: sons & técnicas
Practising;Praticar
Rehearsing;Ensaiar
Performing with others;Executar em conjunto
Composing, creating & developing;Compor, criar & desenvolver
Creating & developing ideas;Criar e desenvolver ideias
Improvising;Melhorar
Reflective composing;Composição Reflexiva
Arranging/accompaniments;Arranjos/acompanhamentos
Responding & reviewing;Responder & rever
Music and Media;Música e multimédia
Film music;Música de filmes
Theatre Music;Música de Teatro
Background Music;Música de Fundo
Musical instruments / Human voice;Instumentos musicais / voz humana
Strings;Cordas
Banjo;Banjo
Cello;Violoncelo
Double Bass;Contrabaixo
Guitar;Guitarra
Harp;Harpa
Lute;Alaúde
Mandolin;Mandolim
Ukulele;Guitarra havaiana (Ukelele)
Viola;Viola
Violin;Violino
Electric Bass;Baixo eléctrico
Electric guitar;Guitarra Elétrica
Zither;Cítara
Keyboards;Teclas
Clavichord;Clavicórdio
Harpsichord;Cravo
Piano;Piano
Synthesizer / Electric Piano;Sintetizador / Piano Elétrico
Organ;Órgão
Fortepiano / Pianoforte;Fortepiano 
Winds;Sopros
Recorder;Flauta doce
Saxophone;Saxofone
Trombone;Trombone
Trumpet;Trompete
Tuba;Tuba
Bagpipes;Gaita de foles
Bassoon;Fagote
Clarinet;Clarinete
Contrabassoon;Contrafagote
Cornet;Corneta
Flute;Flauta 
Harmonica;Harmónica
Oboe;Oboé
French Horn;Trompa
English Horn;Corne inglês
Percussions;Percussão
Bass Drum;Bombo
Bell;Campaínha
Castanet;Castanholas
Cymbal;Címbalo
Glockenspiel;Glockenspiel
Gong;Gongo
Maracas;Maracas
Metallophone;Metalofone
Snare Drum;Caixa / Tarola
Tambourine;Tamborim
Timpani;Timbales
Triangle;Triângulo
Xylophone;Xilofone
Human;Humano
Soprano;Soprano
Alto;Alto 
Tenoro;Tenor
Basso;Baixo
Music Education;Educação Musical
Music History;História da Música
Ancient / Roman era;Antiguidade / Era romana
Aristoxenos;Aristoxeno
Pythagoras;Pitágoras
Pronomos;Pronomos
Byzantine era;Era Bizantina
Saint Romanos the Melodist;Romano, o Melodista
Byzantine Hymnography;Hinografia Bizantina
Medieval/Middle Ages;Idade Média / Medieval
Gregorian chant;Canto gregoriano
Troubadours and trouvères;Trovadores e troveiros
Ars antique;Arte antiga
Ars Nova;Arte Nova
The Renaissance;Renascença
Polyphony;Polifonia
Madrigal;Madrigal
Palestrina;Palestrina
Lassus;Lassus
Byrd;Byrd
Leontaritis;Leontaritis
Motet;Motete
Baroque Period;Período Barroco
 Bach; Bach
 Handel; Handel
 Vivaldi; Vivaldi
Telemann;Telemann
Lully;Lully
Corelli;Corelli
Couperin;Couperin
Claudio Monteverdi;Claudio Monteverdi
Rameau;Rameau
Purcell;Purcell
Four Seasons;As Quatro estações
Concerto;Concerto
Oratorio;Oratória
Tonality;Tonalidade
Classical Period;Período Clássico
Stamitz;Stamitz
Haydn;Haydn
Johann Christian Bach;Johann Christian Bach
 Salieri; Salieri
Clementi;Clementi
 Mozart; Mozart
Boccherini; 
Romantic Period;Boccherini
Beethoven;Beethoven
Hummel;Hummel
Reicha;Reicha
Paganini;Paganini
Rossini ;Rossini 
Donizetti;Donizetti
Schubert;Schubert
Mendelssohn;Mendelssohn
Schumann;Schumann
Liszt;Liszt
Verdi;Verdi
Wagner;Wagner
Bruckner;Bruckner
Strauss;Strauss
Borodin;Borodin
Saint Saens;Saint Saens
Bizet;Bizet
Mussorgsky;Mussorgsky
Tchaikovsky;Tchaikovsky
Grieg;Grieg
Dvořák;Dvořák
Korsakov;Korsakov
Koehler;Koehler
Elgar;Elgar
Puccini;Puccini
Mahler;Mahler
Debussy;Debussy
Sibelius;Sibelius
Scriabin;Scriabin
Rachmaninoff;Rachmaninoff
Schoenberg;Schoenberg
Ravel;Ravel
Symphonic Poem;Poema sinfónico
String Quartet;Quarteto de Cordas
Early Romantic era;Início do Período Romântico
Middle Romantic era;Período Romântico Médio
Late Romantic era;Final do Período Romântico
Contemporary; 
Kalomiris;Kalomiris
Holst;Holst
Skalkotas;Skalkotas
Mitropoulos;Mitropoulos
Callas;Callas
Serialism;Serialism
Modernism;Modernism
Xenakis;Xenakis
Notation / Music Theory / Harmony/Musical Morphology;Notação /  Teoria Musical / Harmonia / Morfologia Musical
A;A
B;B
Bar  ;Compasso
Beat ;Ritmo
C;C
Cadence;Cadência
Chamber Music ;Música de Câmara
Choir;Coro
Chord;Acorde
Chromatic Scale;Escala Cromática
Circle of Fifths;Círculo das Quintas
Clef ;Clave
Contrapunto;Contraponto
Crotchet;Semínima
Crotchet rest;Pausa Semínima
D;D
Demisemiquaver;Fusa
Demisemiquaver rest;Pausa de Fusa
Diminished and Augmented Triads;Tríade Aumentada e Diminuta
Dissonant and Consonant Chords;Acordes Consonantes e Dissonantes
Do;Do
Dominant 7th's;Dominante de Sétima
Dotted Note ;Nota Pontuada
Dotted Rest;Pausa Pontuada
Double Accidental;Duplo Acidente
Duo;Duo
E;E
Eighth note  ;Colcheia
Eighth note rest;Pausa de Colcheia
Ensemble;Conjunto (Ensemble)
Expression Marks;Dinâmica Musical
F;F
Fa;Fa
Fugue;Fuga
Flat;Bemol
G;G
Harmonic Intervals;Intervalos Harmónicos
Hemidemisemiquaver ;Semifusa
Intervals;Intervalos
Invert Triads;Tríades Invertidas
Key Signature;Armação de Clave
La;La
Lyrics;Letra de Música
Major;Maior
Major and Minor 7ths;Maior e Menor de Sétima
Major chord;Acorde Maior
Major Scale;Escala Maior
Major Triads;Tríades Maiores
Melodic Intervals;Intervalos Melódicos
Melody ;Melodia
Measure;Compasso
Mi;Mi
Minim note;Mínima
Minim rest;Pausa de Mínima
Minor;Menor
Minor Scale;Escala Menor
Minor Triads;Tríades Menores
Musicology;Musicologia
Mute;Surdina
Natural;Natural
Nocturne;Nocturno
Notation ;Notação
Note;Nota
Note values;Duração das Notas
Octave;Oitava
Octet ;Octeto
