Business Studies;Estudos Empresariais
Accounting;Contabilidade
Accounting and Financial Ratios;Indicadores Contabilísticos e Financeiros
Balance Sheets;Balanços
Bookkeeping;Contabilidade
Break-Even Analysis;Análise do Ponto Morto Económico 
Budgets;Orçamentos
Cash Flow;Tesouraria
Corporates Restructuring;Reestruturação Empresarial
Cost Management;Gestão de Custos
Financial Accounting;Contabilidade Financeira
Financial Statement Analysis;Análise do Balanço Financeiro
International Accounting Standards;Normas Internacionais de Contabilidade
Performance Measurement;Medição de Desempenho
Profit and Loss Accounts;Demonstração de Resultados
Value-Based Management;Gestão Baseada em Valor
Working Capital;Fundo de Maneio
Business Law;Direito Empresarial
Business Ethics;Ética Empresarial
Competition Law;Lei da Concorrência
Corporate Structures;Estrutura Empresarial
Employment Law and Legislation;Direito do Trabalho e Legislação
Intellectual Property;Propriedade Intelectual
Taxation;Tributação
Trading regulations;Normas Comerciais
Data privacy;Proteção de Dados
Regulations;Regulamentos
Contracts;Contratos
Business Economics;Economia Empresarial
Competition;Competição
 Production;Produção
Decision Science;Ciência da Decisão
Systems Analysis;Análise de Sistemas
Risk Management;Gestão de Risco
Data Interpretation;Interpretação de Dados
Decision Making Under Uncertainty;Incerteza e Tomada de Decisão
Forecasting;Previsão
Statistical Methods;Métodos Estatísticos
Negotiation and Auction Analysis;Análise de Leilão e Negociação
Behavioural Decision Theory;Teoria da Decisão Comportamental
Development Economics;Economia do Desenvolvimento
Measures of Development;Medidas de Desenvolvimento
Economic Efficiency;Eficiência Económica
Allocative Efficiency;Eficiência Distributiva
Productive Efficiency;Eficiência Produtiva
What Efficiency is;O que é Eficiência 
Economic Management;Gestão Económica
Balance of Payments;Balança de Pagamentos
Entrepreneurship Education;Educação para o Empreendedorismo
Business Management;Gestão Empresarial
Communications and Interpersonal Skills;Comunicação e Competências Interpessoais
Creative Thinking;Pensamento Criativo
Economics of Work and Leisure;Economia do Trabalho e do Lazer
Enterprise;Empresa
Entrepreneurial Process;Processo Empreendedor
Human Resource Management;Gestão de Recursos Humanos
Innovation;Inovação
Inspiring Followership;Inspiração de Seguidores
Marketing Management;Gestão de Marketing
Negotiation Skills;Técnicas de Negociação
Operations Management;Gestão de Operações
Organizational Behaviour and Leadership;Comportamento Organizacional e Liderança
Professional Development;Desenvolvimento Profissional
Project Management;Gestão de Projeto
Protecting Ideas;Protecão de Ideias
Resource Management;Gestão de Recursos
Self-motivation Skills;Competências de Auto-motivação
Sense of Initiative and Entrepreneurship;Espírito de Iniciativa e Empreendedorismo
Social Entrepreneurship;Empreendedorismo Social
Strategy and Corporate Social Responsibility;Estratégia e Responsabilidade Social Empresarial
Business Finance;Finanças
Banking;Banca
Corporate Finance;Finanças Corporativas
International Finance;Finanças Internationais
Capital Markets;Mercado de Capitais
Commercial and Investment Banking;Banca de Comércio e Investimento
Financial Markets and Institutions;Instituições e Mercados Financeiros 
Mergers and acquisitions;Fusões e Aquisições
Sources of Funds;Fontes de Recursos
Private Equity and Venture Capital;Capital Privado e Capital de Risco
Investment Decisions;Decisões de Investimento
Global Economics;Economia Global
European Union;União Europeia
Globalisation;Globalização
Stability and Policy Effectiveness;Estabilidade e Eficácia das Políticas
Growing a business;Criar um negócio
Business Size;Dimensão do negócio
Mergers and Takeovers;Fusões e Aquisições
ICT in business;TIC nas empresas
Business Software;Software Empresarial
E-Business;E-Business
E-Commerce;E-Commerce
e-Government;e-Government
Electronic Communication;Comunicação eletrónica
IT Infrastructures;Infra-estruturas  TI
IT Strategy;Estratégia TI
Data and Information Management;Dados e Gestão de Informação
Knowledge Management;Gestão do Conhecimento
International Trade;Comércio Internacional
Benefits and Implications of International trade;Benefícios e Implicações do Comércio Internacional
Exchange Rates;Taxas de Câmbio
Free Trade;Comércio Livre
Protectionism;Protecionismo
Macroeconomic Policy;Política Macroeconómica
Fiscal Policy;Política Fiscal
Inflation;Inflação
Monetary Policy;Política Monetária
Supply Side Policy;Políticas do Lado da Oferta
Marketing;Comercialização
Branding strategies;Estratégias de marca
B2B (Business to Business) Marketing;Marketing B2B (Empresa a Empresa)
B2C (Business to Consumer) Marketing;Marketing B2C (Empresa a Consumidor)
Communication Strategies;Estratégias de Comunicação
Consumer Behaviour;Comportamento do Consumidor
Customer Relationship Management;Gestão da Relação com o Consumidor (CRM)
Distribution Channels;Canais de Distribuição
International Marketing;Marketing Internacional
Market Analysis;Análise de Mercado
Market Failure;Deficiência de Mercado
Product Strategies/Brands;Estratégias de Produto/Marcas
Price Strategies;Estratégias de Preços
Public Relations;Relações Públicas
Retailing Strategies;Estratégias de Venda a Retalho
Sales;Vendas
Segmentation and Positioning;Segmentação e Posicionamento
Services Marketing;Marketing de Serviços
Strategic Marketing;Marketing Estratégica
National Economy;Economia Nacional
Aggregate Demand and Aggregate Supply;Procura Agregada e Oferta Agregada
Circular Flow of Income and Multiplier Effect;Efeito de Rendimento Circular e Efeito Multiplicador
Change Management;Gestão da Mudança
Coaching;Treino (Coaching)
Conflict Resolution;Resolução de Conflitos
Delegation;Delegação
Leadership Styles;Estilos de Liderança
Negotiation;Negociação
Organizational Innovation;Inovação Organizacional
Teams and Groups;Grupos e Equipas
Power and Politics;Poder e Políticas
Organizational Learning;Aprendizagem Organizacional
Social Networks;Redes  Sociais
Organizational Culture;Cultura Organizacional
Organizational Evolution and Growth;Evolução Organizacional e Crescimento
Collaboration;Colaboração
Vision and Mission;Visão e Missão
Transport Economics;Economia dos Transportes
Contestability;Contestabilidade
Economies of Scale;Economias de Escala
Market Structure;Estrutura do Mercado
