Mathematics;Matemática
Algebra and Number Theory;Álgebra e Teoria de Números
Algebra;Álgebra
Algebraic calculation;Cálculo Algébrico
Algebraic expression;Expressão Algébrica
Algebraic Manipulation;Manipulação Algébrica
Cardinal number;Número Cardinal
Congruences;Congruências
Distribution of primes;Distribuição de primos
Divisibility;Divisibilidade
Equality;Igualdade
Equation of a cycloid;Equação de um ciclóide
Equation of a parabola;Equação de uma parábola
Equation of a plane;Equação de um plano
Equation of a spiral;Equação de uma espiral
Equation of a straight line;Equação de uma reta
Equation of an ellipse;Equação de uma elipse
Equation of curve;Equação de uma curva
Equations;Equações
Expression;Expressão
Factorization;Factorização
Formula;Fómula
Formula for angle;Fórmula do ângulo
Formula for area;Fórmula da área
Formula for length;Fórmula do comprimento
Formula for volume;Fórmula do Volume
Graphing Techniques;Técnicas de representação gráfica
Identity;Identidade
Inequality;Inequação
Inequality General;Inequação geral
Inner product spaces;Produto interno de espaços
Integer;Inteiro (Número inteiro)
Irrational Number;Número Irracional
Linear Equation;Equação Linear
Linear equations system;Sistema de equações lineares
Linear expression;Expressão linear
Linear Inequality;Inequação linear
Linear Inequality With One Variable;Inequação linear com uma variável
Natural number;Número Natural
Ordinal numbers;Números ordinais
Polynomial Inequality;Inequação Polinomial
Primes;Primos
Quadratic Equation;Equação Quadrática
Quadratic Inequality;Inequação quadrática
Rational Inequality;Inequação racional
Rational Number;número racional
Symbol;símbolo
Symbolic Expression;expressão simbólica
System of equations;Sistema de equações
System with two equations and two unknowns;sistema de duas equações e duas incógnitas
Linear Algebra – Number Theory;Álgebra Linear - Teoria de Números
Equality;equação
Equation of a cycloid;Equação de uma ciclóide
Formula for length;Fórmula do comprimento 
Analysis;Análise
Complex Analysis;Análise Complexa
Bounded operators;Operadores (lineares) limitados
Computer Arithmetic;aritmética computacional
Conformal Mappings;mapeamentos conformes
Construction of a plot;Construção de um traço 
Continuity and discontinuity;Continuidade e descontinuidade
Error in a plot;Erro num traço 
Function plot features;Características do traço da função
Gradient;Gradiente
Graphical Representation of Function;Representação gráfica de uma função
Integral Transforms;Transformadas integrais
Interpolation;Interpolação
Local and global description of a plot;descrição global e local de um gráfico
Numerical Differentiation;diferenciação numérica
Numerical Integration;integração numérica
Plots;traçado de curvas 
Polynomial graph;Gráfico polinomial
Solutions of Equations;soluções de equações
Solutions of Systems;soluções de sistemas
Unbounded Operators;Operadores (lineares) não limitados
Functional Analysis;Análise Funcional
Global Analysis;Análise Global
Harmonic Analysis;Análise Harmónica
Numerical Analysis;Análise Numérica
Construction of a plot;Construção de um traçado 
Plots;traçado de curvas
Real Analysis;Análise Real
Signal Analysis;Análise de Sinal
Construction of a plot;Construção de um traçado
Error in a plot;Erro num traço
Applied Mathematics;Μatemática aplicada
Engineering Mathematics;Engenharia Matemática
Bar chart;Gráfico de barras
Bias;Viés
Box plot;gráfico de caixa
Calculator;calculadora
CAS;Sistema Algébrico Computacional
Case count;contagem de casos
Circular chart;gráfico circular
Compass;compasso
Construct with ruler and compass;construção com régua e compasso
Contingency table;tabela de contingência
Cumulative frequency diagram;diagrama de frequências cumulativas
Data chart features;características do gráfico de dados
Diagram;diagrama
Double entry table;tabela de dupla entrada
Dynamic interactive geometry environments;ambientes interativos de geometria dinâmica
Experiments;experiências
Frequency diagram;diagrama de frequências
Function Plotter;"traçador" do gráfico da função
Graduated ruler;régua graduada
Graphical display of data;apresentação gráfica de dados
Graphing Calculator;calculadora gráfica
Histogram;histograma
Line chart;gráfico de linhas
Multiple chart;gráfico múltiplo
Outlier;Valor atípico (Outlier)
Pie chart;gráfico circular
Polygon of frequencies;polígono de frequências
Problems from other subjects;problemas de outros assuntos
Programmable Calculator;calculadora programável
Protractor;transferidor
Real world problem;problema da vida real
Ruler;régua
Sector chart;gráfico de sectores
Set square;esquadro
Simulation;simulação
Skewness;enviesamento
Software Tools;programas informáticos
Spreadsheet Software;programa de folha de cálculo
Statistical table;tabela estatística
Table;tabela
Table with several columns;tabela com várias colunas
Template;modelo
Tool;ferramenta
Tree diagram;diagrama em árvore
Word problem;Problema de palavras 
Mathematical Biology;Biologia matemática
Dynamic interactive geometry environments;ambientes interativos de geometria dinâmica 
Mathematical Economics;Economia matemática
Word problem;problema no Word / problema de palavras 
Mathematical Physics;Física Matemática
Mathematics for Computer;Matemática para computadores
Problems from other subjects;calculadora programável
Science;Ciência
Mathematics for Humanities;Matemática para Humanidades
Mathematics for Social Sciences - Software;Matemática para as Ciências Sociais - Programas informáticos
Differential and Difference Equation;Equações diferenciais e equações de diferenças
Discrete Mathematics;Matemática Discreta
Algorithms;Algoritmos
Combinations;Combinações
Linear problems;Problemas lineares
Permutations;Permutações
Combinatorics;Combinatória
Game Theory;Teoria de Jogos
Graph Theory;Teoria de Grafos
Recursion;Recursão
Geometry;Geometria
Elementary plane geometry;Geometria elementar do plano
Ampliation;Ampliação
Archimedean solid;Sólido arquimediano
Bisector-Plane;plano bissector
Circle;círculo
Circle of latitude;Paralelo
Circumcircle;circunferência
Cone;cone
Conic Section;secção cónica
Cube;cubo
Cuboid;paralelepípedo
Cylinder;cilindro
Disc;disco
Dodecahedron;dodecaedro
Ellipse;elipse
Enlargement;Ampliação
Hyperbola;hipérbole
Icosahedron;icosaedro
Incircle;círculo inscrito
Meridian;meridiano
Movement;deslocação
Octahedron;octaedro
Orthogonal projection;projeção ortogonal
Orthogonal projection of solid;projeção ortogonal de um sólido
Parabola;parábola
Parallel projection;projeção paralela
Perspective projection;projeção perspetiva
Plane;plano
Plane in coordinate system;plano no sistema de coordenadas
Platonic solid;sólido platónico
Polyhedron;poliedro
Polyhedron composition;composição de poliedros
Polyhedron decomposition;decomposição de poliedro
Polyhedron deformation;deformação de poliedro
Polyhedron dualize;poliedro dual
Polyhedron movement;deslocação do poliedro
Polyhedron transformation;transformação do poliedro
Polyhedron truncating;truncatura do poliedro
Polyhedron unfold;planificação do poliedro
Prism;prisma
Projection;projeção
Pyramid;pirâmide
Reduction;redução
Reflection;reflexão
Reflection in a line;reflexão relativamente a uma reta
Reflection in a plane;reflexão relativamente a um plano
Reflection in a point;reflexão relativamente a um ponto
Revolution Solid;sólido de revolução
Right-Prism;prisma reto
Right parallelepiped;paralepepípedo reto
Rotation;rotação
Simple solid objects;objetos sólidos simples
Simple calculation of volume;cálculo simples do volume
Solid objects;objetos sólidos 
Sphere;esfera
Symmetry plane;plano de simetria
Tetrahedron;tetraedro
ThreeD Object;objeto 3D
Transformation;transformação
Translation;translação
Volume;volume
Geometric Proof – Solid Geometry;Prova geométrica - Geometria de sólidos
Logic and Foundations;Lógica e fundações
Logic;Lógica
Cardinality;cardinalidade
Coloring Proof;Prova por coloração
Counterexample;contra-exemplo
Deductive method;método dedutivo
Direct Proof;prova/demonstração direta
Fallacy;falácia
Inductive method;método indutivo
Methods of Proof;métodos de prova
Pigeonhole Principle;principio da gaiola dos pombos
Proof;prova
Proof by contradiction;prova por contradição
Sets and Set Operations;conjuntos e operações de conjuntos
Venn Diagrams;diagramas de Venn
Set Theory;Teoria de Conjuntos
Direct Proof;Prova direta
Numbers and Computation;Números e cálculo
Arithmetic;Aritmética
Approximate value;valor aproximado
Arithmetic Sequence;progressão aritmética
Bound;limite
Cardinal number;números cardinais
Cartesian coordinates;coordenadas cartesianas
Coordinates;coordenadas
Coordinates of a point;coordenadas de um ponto
Cosine;co-seno
Decimal number;número decimal
Dividend;dividendo
Fibonacci Sequence;sucessão de Fibonacci
Fraction;fração
Frequency;frequência
Geometric Sequence;sucessão geométrica
Integer;inteiro
Lower bound;limite inferior
Number;número
Number Theory;teoria de números
Percentage;percentagem
Polar Coordinates;coordenadas polares
Power;potência
Primes;primos (números)
Quotient;quociente
Ratio of numbers;razão de números
Real number;número real
Remainder;resto
Scale factor;fator de escala
Sine;seno
Square Number;quadrado do número
Square root;raís quadrada
Tangent of angle;tangente do ângulo
ThreeD coordinates;coordenadas tridimensionais
Trigonometric ratio;razão trigonométrica
TwoD coordinates;coordenadas bidimensionais
