ICT;TIC
Communications & entertainment;Comunicação e Entretenimento
Advertising;Publicidade
Changing technologies;Evolução de Tecnologias
Chat;Conversa (Chat)
Communications issues;Questões de Comunicação
Communicative competence;Competência Comunicativa
Developments in software & hardware & their impact;Desenvolvimento de Software & Hardware & o seu impacto
Electronic journal;Jornal Electrónico
Gadgets;Miniaplicações (Gadgets)
Integration of digital products;Integração de produtos digitais
Language;Linguagem
Mass media;Meios de comunicação
Media education;Educação para os media
Video & audio;Video & Audio
Web 2.0;Web 2.0
Control concepts;Conceitos de Controle
Automating events;Eventos automatizados
Considering 'what if...?'/predicting;Considerando "e se…?" / Prever
Controlling;Controlador
Feedback/responding to data;Feedback / Resposta aos dados
Instructions;Instruções
Modelling;Modelagem
Procedures/macros/templates;Procedimentos / macros / templates
Relationships & rules;Relações e regras
Sequencing;Sequenciamento
Simulating;Simulação
Data concepts;Conceitos de Dados
Appropriate/not appropriate;Apropriado / não apropriado
Benefits & problems of data collection;Benefícios e problemas da recolha de dados
Classification;Classificação
Data capture;Captura de dados
Data collection;Recolha de dados
Data logging;Registo de dados
Data presentation;Apresentação de dados
Data processing;Processamento de dados
Data representation;Representação de dados
Database terminology & definitions;Terminologia de bases de dados & definições
Databases;Bases de dados
Databases management;Gestão de Bases de dados
Database stucture;Estrutura de base de dados
Datalogging;Registo de dados
Labelling;Rotulagem
Limitations/advantages;Limitações / vantagens
Linked databases & database structures;Bases de dados relacionadas & estrutura de bases de dados
Number bases;Bases numéricas
Number conversion;Conversão numérica
Numbers;Números
Numerical notation;Notação numérica
Planning what data to record;Planeamento da gravação de dados
Plausibility;Plausibilidade
Presenting measured data;Apresentação dos dados medidos
Quality & accuracy;Qualidade e precisão
Storing & retrieving data;Armanezamento e recuperação de dados
Search techniques;Técnicas de pesquisa
Sensors & software Appropriate/not appropriate;Sensores e software adequado / não adequado
Sounds;Sons
Still images - generally;Imagens estáticas - geral
Still images: bitmap graphics;Imagens estáticas - gráficos bitmap
Still images: graphs;Imagens estáticas - gráficos
Still images: pictograms;Imagens estáticas - pictogramas
Still images: vector graphics;Imagens estáticas - gráficos vectoriais
Synthesising information;Síntese da informação
Text;Texto
Use of queries, forms, reports, macros;Utilização de questionários, formulários, relatórios, macros
ICT tools;Ferramentas TIC
ICT tools – generally;Ferramentas TIC - geral
ICT tools: adventure games/simulations;Ferramentas TIC: jogos de aventura / simulações
ICT tools: bitmap graphics software;Ferramentas TIC: software de gráficos bitmap
ICT tools: control software;Ferramentas TIC: software de controlo
ICT tools: database;Ferramentas TIC: base de dados
ICT tools: datalogging software;Ferramentas TIC: software de registo de dados
ICT tools: desktop publishing (DTP);Ferramentas TIC: paginação electrónica (DTP)
ICT tools: multimedia authoring software;Ferramentas TIC: software multimédia de autor
ICT tools: music & sound software;Ferramentas TIC: software de som e música
ICT tools: presentation software;Ferramentas TIC: software de apresentação
ICT tools: spreadsheet;Ferramentas TIC: folha de cálculo
ICT tools: vector graphics program;Ferramentas TIC: programa de gráficos vectoriais
ICT tools: web authoring software;Ferramentas TIC: software de autor web
ICT tools: web browser;Ferramentas TIC: navegador de internet
ICT tools: word processor;Ferramentas TIC: processador de texto
Computer architecture;Arquitectura de compudadores
Basic computer concepts;Conceitos básicos de informática
Computer functional scheme;Esquema funcional de computador
Bool algebra and logical sets;Álgebra booleana e conjuntos lógicos
Hardware;Hardware
Computer addition;Adição informática
Concept keyboard;Teclado Concept
Connecting computer parts;Ligar peças de computador
Digital cameras;Câmaras digitais
Digital scanners;Scanners digitais
Disk drive/hard disk;Unidade de disco / disco rígido
Electronic day books;Livros electrónicos diários
Faxes;Fax
Floppy Drive;Disquete
Input;Input
Keyboard Mouse;Teclado rato
Laser printers;Impressoras a laser
