Foreign Language Learning;Aprendizagem de Línguas Estrangeiras
Reading;Leitura
Pre-Reading Activities;Atividades de Pré-Leitura
Making Predictions;Fazer Previsões
Activating / Generating Knowledge;Ativar/ Gerar Conhecimento
During Reading Activities;Durante as Atividades de Leitura
Directed / Guided Reading;Leitura dirigida/guiada
Reading Discussion;Discussão de leitura
Whole Class Literature Study;Estudo de Literatura em Turma
Literature Circles / Book Clubs;Círculos de Literatura / Clubes de Leitura
Sustained Silent Reading;Leitura Silenciosa Sustentada
Independent Reading;Leitura Independente
Rereading;Releitura 
Descriptive Analysis;Análise Descritiva
Critical Analysis / Reflection;Análise Crítica / Reflexão
Dramatic Reading / Reader’s Theater;Leitura dramática / Teatro Interpretativo
Note Taking;Tomada de Notas
Literature Reading;Leitura de Literatura
Nonfiction Reading;Leitura de Não-Ficção
Reading Other Forms of Text;Leitura de Outras Formas de Texto
Post-Reading Activities;Atividades Pós-Leitura
Completing Scales;Completando Escalas
Summarizing;Resumo
Quizzing / Testing;Questionário / Teste
Sharing / Collaborating;Partilha / Colaboração
Discussion;Discussão
Reconstituting / Reconsidering Text;Reconstituição / Reconsideração do Texto
Creating Text-Related Artifacts;Criação de Texto Relacionado com Artefactos
Writing;Escrever
Pre-Writing Activities;Atividades de Pré-Escrita
Brainstorming/Listing;Brainstorming / Listagem
Doodling;Rabiscar
Webbing / Clustering / Semantic Mapping;Rede / Clustering / Mapa Semântico
Freewriting / Guided Freewriting;Escrita Livre / Escrita Livre Orientada
Researching;Pesquisa
Organizing Ideas for Writing Activities;Organização de Ideias para Atividades de Escrita
Sequencing / Outlining / Storyboarding;Aequenciamento / Esboço / Storyboard
Higher-order Webbing / Clustering;Rede de Ordem Superior / Clustering
Choosing Form / Genre;Escolha de Forma / Género
Identifying Purpose / Audience;Identificar Objetivo / Público
During Writing Activities;Atividades Durante a Escrita
Drafting;Rascunho
Conferencing;Conferenciar
Revising;Rever
Editing;Editar
Consulting Resources;Consulta de Recursos
Writing Fiction;Escrever Ficção
Writing Nonfiction;Escrever Não-Ficção
Writing Other Forms of Text;Escrever Outras Formas de Texto
Translation;Tradução
Post-Writing Activities;Atividades Pós-Escrita
Sharing;Partilha
Publishing;Publicação
Performing;Desempenho
Speaking;Falar
During Reading activities;Falar
Speaking / Speech;Falar / Discursar
Performance / Production;Desempenho / Produção
Post-Speaking activities;Atividades Pós-Discurso
Evaluating / Criticizing Speech / Production;Avaliação / Crítica de Discurso / Produção
Listening;Ouvir
During Listening activities;Atividades Durante a Audição
Listening Passively;Ouvir Passivamente
Listening Actively;Ouvir Ativamente
Multimodal / Multimedia Interaction;Multimodal / Interação Multimedia
Vocabulary;Vocabulário
Vocabulary Awareness;Consciência de Vocabulário
Vocabulary Analysis;Análise de Vocabulário
Vocabulary Use;Uso de Vocabulário
Grammar ;Gramática
Sentence Composing;Composição de Frases
Code Switching;Alternância de Código de Discurso (Code Switching)
Word Analysis;Análise de Palavras
Sentence Analysis;Análise de Frases
Style / Error Analysis;Estilo / Análise de Erros
Semantic Analysis;Análise de Semântica
Mechanics;Mecânica
Usage;Uso
Language Errors;Erros de Linguagem
Spelling;Soletrar
