Special Educational Needs;Necessidades Educativas Especiais
Attention deficit / and hyperactivity disorder (ADD / ADHD) ;Perturbação de hiperatividade e défice de atenção (PHDA)
Attention ;Atenção
Hyperactivity ;Hiperatividade
Impulsivity ;Impulsividade
Information ;Informação
Autism spectrum disorders (ASD) and Asperger Syndrome;Perturbações do espectro do autismo (PEA) e Síndrome de Asperger 
Behavior ;Comportamento
Classroom organization ;Organização na sala de aula
Communication ;Comunicação
Sensory ;Sensorial
Social skills ;Competências sociais
Behavioral, emotional and social difficulties (BESD) ;Dificuldades comportamentais, emocionais e sociais
Anger management ;Controlo da raiva
Bullying ;Bullying
Motivation ;Motivação
Rewards & sanctions ;Recompensa e punição
Cognitive impairment: Moderate learning difficulties (MLD) ;Défice cognitivas: dificuldades moderadas de aprendizagem
Curriculum P8 - L2 ;Currículo P8 - L2
Cognitive impairment: Severe learning difficulties (SLD) ;Défice cognitivas: dificuldades graves de aprendizagem
Curriculum P4 - P7 ;Currículo P4 - P7
Down's Syndrome ;Síndrome de Down
Behavior management ;Controlo comportamental
Curriculum ;Currículo
Gifted and talented ;Sobredotado e talentoso
Curriculum extension ;Alargamento curricular
Projects ;Projetos
Hearing impairment ;Deficiências auditivas
Communication modes ;Modos de comunicação
Mental health issues ;Problemas de saúde mental
Anxiety ;Ansiedade
Depression ;Depressão
Eating disorders ;Distúrbios alimentares
Obsessive compulsive disorder [OCD] ;Perturbação Obsessivo-Compulsivo (POC)
Self-harming ;Automutilação
Physical impairments ;Deficiências físicas
Access ;Acesso
Environment ;Meio
Profound and multiple learning difficulties (PMLD) ;Dificuldade de Aprendizagem Profunda e Múltipla (DAPM)
Curriculum P1 - P3 ;Currículo P1 - P3
Physical ;Físico
Sensory integration disorder ;Distúrbio de integração sensorial
Therapy ;Terapia
Specific learning difficulties;Dificuldades de Aprendizagem Específicas 
Auditory processing disorder ;Perturbação no processamento auditivo
Dyscalculia ;Discalculia
Dysgraphia ;Disgrafia
Dyslexia ;Dislexia
Dyspraxia ;Dispraxia
Visual processing disorder ;Perturbação no processamento visual
Speech and language communication difficulties ;Dificuldades de comunicação da linguagem e da fala 
Articulation ;Articulação
Expressive language ;Linguagem expressava
Receptive language ;Linguagem receptiva
Selective mutism ;Mutismo seletivo
Tourette's Syndrome ;Síndrome de Tourette
Organisation ;Organização
Tics ;Tiques
Visual impairment ;Deficiência Visual
Well Being / Emotional Literacy;Bem-estar / Literacia emocional
Awareness & management of others ;Consciência e controlo de outrem
Awareness & management of self ;Consciência e controlo do eu
Self-esteem ;Autoestima
