"TL3c",application/ppt,"Lecture, Presentation"
"TL4b","application/msword, application/pdf, application/ogg, application/rtf, application/uue, text/plain, text/richtext","Glossaries, Textbook, Guide"
"TL4c","application/ppt, video/*, audio/*, image/* ","Presentation , Lecture"
"TL4d","model/vrml , application/postscript","Application, Tool"
"TL4e","text/html","Website"
"TL4h","application/x-pn-realmedia, application/binary, application/java, application/x-shockwave-flash","Application, Drill and Practice, Demonstration, Tool, Educational Game"
"TL4j",application/msexcel,"Application, Other, Tool"
"TL4k",text/html,"Application, Blog, Broadcast, Social Media, Website, Wiki"
"KD4a","text/html, application/java, application/binary, application/base64, application/x-shockwave-flash, application/msexcel, application/vrml, text/xml","Application, Demonstration, Drill and Practice, Educational Game, Role Play, Reference, Simulation, Tool"
"KD4d","","Application, Assessment, Tool"
"KC4a","text/html,text/xml, application/java, application/binary, application/base64, application/x-shockwave-flash, application/msexcel, application/vrml,","Application, Blog, Social Media, Tool, Wiki, Other"
"KC5a","application/java, application/binary, application/base64","Application, Educational Game, Experiment, Simulation, Role Play, Tool, Website"
